                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                 0.7648,                0.38676,                0.93933,                0.99876,                      1,                  0.995,                0.75572,                 1.0758,                0.39375,                 1.0397,              0.0014535,              0.0014535,              0.0014535
                    140,                0.75672,                0.38776,                0.95021,                  0.999,                      1,                  0.995,                0.74289,                 1.1176,                0.41419,                 1.0673,              0.0014496,              0.0014496,              0.0014496
                    141,                0.77625,                0.38259,                0.94965,                0.99887,                      1,                  0.995,                0.71867,                 1.1135,                 0.3904,                 1.0472,              0.0014456,              0.0014456,              0.0014456
                    142,                0.77091,                0.37866,                0.94195,                0.99887,                      1,                  0.995,                0.72723,                 1.1087,                0.39698,                 1.0419,              0.0014416,              0.0014416,              0.0014416
                    143,                0.77865,                0.39338,                0.93858,                 0.9947,                      1,                  0.995,                0.71637,                 1.0867,                0.41118,                  1.043,              0.0014377,              0.0014377,              0.0014377
                    144,                 0.7499,                0.37382,                0.94531,                0.99839,                      1,                  0.995,                0.70729,                 1.1423,                 0.4595,                 1.0713,              0.0014337,              0.0014337,              0.0014337
                    145,                0.77132,                0.39156,                 0.9456,                 0.9818,                0.99875,                0.99482,                0.70125,                 1.1617,                0.41259,                 1.0934,              0.0014298,              0.0014298,              0.0014298
                    146,                0.75632,                0.37322,                0.93508,                0.99821,                      1,                  0.995,                0.71811,                 1.1008,                0.39287,                 1.0469,              0.0014258,              0.0014258,              0.0014258
                    147,                0.76954,                0.38571,                0.95671,                 0.9984,                      1,                  0.995,                0.74611,                 1.0353,                0.38576,                 1.0224,              0.0014218,              0.0014218,              0.0014218
                    148,                0.74301,                0.37506,                0.93964,                0.98181,                0.99961,                0.99482,                0.70657,                 1.1726,                0.44295,                 1.0833,              0.0014179,              0.0014179,              0.0014179
                    149,                0.79928,                0.40626,                0.95631,                0.93302,                      1,                0.99063,                0.73048,                 1.0664,                0.44055,                 1.0295,              0.0014139,              0.0014139,              0.0014139
                    150,                0.76877,                0.38987,                0.96107,                0.99879,                      1,                  0.995,                0.75091,                 1.0831,                0.41292,                  1.045,                0.00141,                0.00141,                0.00141
                    151,                0.76984,                0.38575,                0.96208,                 0.9988,                      1,                  0.995,                0.74884,                 1.1048,                0.41584,                 1.0604,               0.001406,               0.001406,               0.001406
                    152,                0.72483,                0.36232,                0.94442,                0.99879,                      1,                  0.995,                0.74621,                  1.098,                0.39434,                 1.0574,               0.001402,               0.001402,               0.001402
                    153,                0.75577,                0.37802,                0.94887,                0.99862,                      1,                  0.995,                0.72489,                 1.0747,                0.39663,                 1.0406,              0.0013981,              0.0013981,              0.0013981
                    154,                0.75029,                 0.3821,                0.94331,                0.99854,                      1,                  0.995,                0.72952,                  1.091,                0.38573,                 1.0569,              0.0013941,              0.0013941,              0.0013941
